point,alpha,c
[0.27083333 0.        ],0.9903414377355643,0.056183970349187734
[0.26916667 0.        ],0.9908124404999559,0.05580611617324942
[0.2675 0.    ],0.9912518759473866,0.05542762633009906
[0.26583333 0.        ],0.9916626672993857,0.055048834590975364
[0.26416667 0.        ],0.9920475746988141,0.05467005403473388
[0.2625 0.    ],0.9924089608221658,0.054291516233004856
[0.26083333 0.        ],0.9927488759503739,0.05391339856305273
[0.25916667 0.        ],0.9930693411374267,0.05353590315481434
[0.2575 0.    ],0.9933720529484843,0.053159187129696944
[0.25583333 0.        ],0.9936583860508685,0.05278334309579144
[0.25416667 0.        ],0.9939293668661636,0.05240838171303589
[0.2525 0.    ],0.9941856405957153,0.05203427181321756
[0.25083333 0.        ],0.994427104054623,0.05166081371722574
[0.24916667 0.        ],0.9946540747700454,0.05128797567290469
[0.2475 0.    ],0.9948698805437443,0.05091613437642081
[0.24583333 0.        ],0.9950714243962376,0.050544678965298837
[0.24416667 0.        ],0.9952628396447858,0.05017427389412334
[0.2425 0.    ],0.9954453202732035,0.04980505108844157
